InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;Contract;PaymentMethod;tenure;Churn
0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.2801570035428536;0.0
0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.06429811287809704;0.0
0.0;1.0;0.0;0.0;0.0;0.0;1.0;-1.2394159394088855;1.0
0.0;1.0;1.0;1.0;1.0;1.0;2.0;0.5124498183517473;0.0
1.0;0.0;1.0;0.0;0.0;0.0;0.0;-1.2394159394088855;1.0
1.0;0.0;1.0;1.0;0.0;0.0;0.0;-0.9949695546050762;1.0
1.0;0.0;0.0;0.0;0.0;0.0;3.0;-0.4245946567295214;0.0
0.0;1.0;1.0;0.0;0.0;0.0;1.0;-0.9134874263371398;0.0
1.0;0.0;1.0;1.0;1.0;0.0;0.0;-0.18014827192571217;1.0
0.0;1.0;0.0;0.0;0.0;1.0;2.0;1.2050479086292067;0.0
0.0;1.0;1.0;0.0;0.0;0.0;1.0;-0.7912642339352352;0.0
2.0;2.0;2.0;2.0;2.0;2.0;3.0;-0.6690410415333305;0.0
1.0;0.0;1.0;1.0;0.0;1.0;3.0;1.0420836520933339;0.0
1.0;0.0;0.0;1.0;0.0;0.0;2.0;0.6754140748876201;1.0
1.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.3023714643276168;0.0
1.0;1.0;0.0;1.0;1.0;2.0;3.0;1.490235357566984;0.0
2.0;2.0;2.0;2.0;2.0;1.0;1.0;0.7976372672895247;0.0
1.0;1.0;1.0;1.0;0.0;2.0;2.0;1.5717174858349205;0.0
0.0;0.0;1.0;1.0;1.0;0.0;3.0;-0.9134874263371398;1.0
1.0;0.0;0.0;1.0;0.0;0.0;0.0;-0.46533572086348957;0.0
0.0;0.0;1.0;1.0;0.0;0.0;0.0;-1.2801570035428536;1.0
2.0;2.0;2.0;2.0;2.0;1.0;2.0;-0.8320052980692034;0.0
2.0;2.0;2.0;2.0;2.0;0.0;1.0;-1.2801570035428536;1.0
0.0;0.0;0.0;0.0;1.0;2.0;3.0;1.0420836520933339;0.0
0.0;1.0;0.0;0.0;1.0;0.0;3.0;0.6754140748876201;0.0
0.0;1.0;0.0;0.0;0.0;0.0;2.0;-0.09866614365777576;0.0
1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5939319466196836;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.2801570035428536;1.0
0.0;1.0;0.0;1.0;1.0;2.0;3.0;1.6124585499688886;0.0
